번호,도서명,저자,출판사,발행년도,ISBN,세트 ISBN,부가기호,권,주제분류번호,도서권수,대출건수,등록일자,
"99","계시록의 타임라인 . 1 , 인","존슨, 안드로니커스","부크크(bookk)","2022","9791137296732","","","1","233.8","1","0","2022-12-29",
"100","결핍의 위로 : 흐린 날 우리에게 필요한 것들","장일","넥서스","2021","9791166831645","","","","230.4","1","0","2022-12-29",
"101","사춘기, 기적을 부르는 대화법 : 자녀와 함께 행복한 관계를 만드는 소통의 기술","박미자","북멘토","2022","9788963190457","","","","598.125","1","0","2022-12-29",
"102","50억짜리 임장보고서 : 왕초보 3년 만에 부자가 된 비결!","성연경","진서원","2022","9791186647936","","","","327.87","1","0","2022-12-29",
"103","오래될수록 더 좋아지는 것들 : 라이프 스타일리스트 권은순의 집 이야기","권은순","BOOKERS(북커스)","2022","9791190118460","","","","595.404","1","0","2022-12-29",
"104","한국단편소설 : 중고생이 꼭 알아야 할","기몽인","신라출판사","2022","9788972441564","","","","813.6","1","0","2022-12-29",
"105","유전자 키 : 당신의 DNA 안에 숨겨진 더 높은 목적을 풀어낸다","러드, 리처드","물병자리","2018","9788994803449","","","","188.8","1","0","2022-12-29",
"106","달까지 가자 [대활자본] : 장류진 장편소설","장류진","창비","2021","9788936434519","","","","813.6","1","0","2022-12-29",
"107","(만화로 배우는)의학의 역사","파비아니, 장 노엘","한빛비즈","2021","9791157845484","","","","510.9","1","0","2022-12-29",
"108","천 개의 파랑 [대활자본] : 천선란 장편소설","천선란","허블","2021","9791190090544","","","","813.6","1","0","2022-12-29",
"109","친절한 R with 스포츠 데이터 : 스포츠 통계로 알아보는 데이터 과학","황규인","Youngjin.com(영진닷컴)","2021","9788931465501","","","","005.54","1","0","2022-12-29",
"110","흔들리는 선 = Shaking lines","서지형","케이스스터디","2021","9791191543001","","","","656","1","0","2022-12-29",
"111","합스부르크 600년 매혹의 걸작들 100배 즐기기 : 한·오스트리아 수교 130주년 기념 국립중앙박물관 특별전","한국경제신문","한국경제신문","2022","9791192522203","","","","606.3","1","0","2022-12-29",
"112","우울한 사람 곁에서 무너지지 않게 도움 주는 법 : 가족이나 친구가 기분장애를 겪고 있을 때 해줄 수 있는 말, 피해야 할 말, 해야 할 행동","누난, 수잔 J","아날로그(글담)","2022","9791187147992","","","","189.2","1","0","2022-12-29",
"113","괜찮아, 우리도 몬테소리가 처음이야 : 30인 엄마들이 실천한 AMI 0~3세 가정 몬테소리 교육 매뉴얼","정이비","Hexagon(헥사곤)","2022","9791189688974","","","","375.1","1","0","2022-12-29",
"114","(손주부의)읽고 나면 미국 주식 쉬워지는 책","손주부","한즈미디어(한스미디어)","2022","9791160078541","","","","327.856","1","0","2022-12-29",
"115","새로워진 다빈치 리졸브 동영상 편집 컬러 그레이딩 : 에디터·컬러리스트 그리고 프로 유튜버를 위한 무료 편집 소프트웨어","이용태","네몬북","2021","9791197453601","","","","005.567","1","0","2022-12-29",
"116","카메라를 끄고 씁니다 : 가족을 기록하는 다큐멘터리 영화감독의 특별한 삶","양영희","마음산책","2022","9788960907775","","","","688.04","1","0","2022-12-29",
"117","(주린이도 수익 내는)알짜 주식 선정 노하우 9가지 : 찾았다! 완전 초보도 할 수 있는 주식투자","설춘환","이레미디어","2021","9791191328172","","","","327.856","1","0","2022-12-29",
"118","소녀들의 섹슈얼리티 : 내 몸·내 마음·내 감정에 관한 소녀들의 성 상담","이수지","한언출판사","2022","9788955969337","","","","334.225","1","0","2022-12-29",
"119","답장이 없는 삶이라도","김해서","세미콜론","2022","9791192107721","","","","814.6","1","0","2022-12-29",
"120","역전세 대란 : 47만 부동산 유튜버의 역발상 투자법","쇼킹부동산","SG연구소","2022","9791186152225","","","3","327.87","1","0","2022-12-29",
"121","천사 도감 : 일러스트로 보는 224명의 천사들","라비올로, 안제미","한즈미디어(한스미디어)","2022","9791160078138","","","","211.15","1","0","2022-12-29",
"122","미국 주식이 답이다 2023 : 평생의 부를 쌓아가는 가장 손쉬운 투자","장우석","페이지2(page2)","2022","9791190977845","","","2023","327.856","1","0","2022-12-29",
"123","7전략 : 인생게임에서 승리하라","김학량","JJbooks(제이제이북스)","2022","9791197890406","","","","392.3","1","0","2022-12-29",
"124","마이 폴리스맨 : 베선 로버츠 장편소설","로버츠, 베선","엘리","2022","9791191247244","","","","843","1","0","2022-12-29",
"125","(곽재식의)유령 잡는 화학자","곽재식","김영사","2020","9788934943402","","","","430","1","0","2022-12-29",
"126","(한국에서의)정치 투쟁 : 1987년 ~ 2022년까지 선거를 중심으로","안성용","밥북","2022","9791158581800","","","","340.911","1","0","2022-12-29",
"127","도화지에 그린 저녁 : 수필이 있는 시집","이종오","韓國新春文藝協會","2020","9788998104160","","","","811.6","1","0","2022-12-29",
"128","슬기로운 난임생활 : 난소 기능성 저하에서 쌍둥이 임신 자연분만 출산까지","김여희","한국학술정보","2021","9791166032127","","","","516.47","1","0","2022-12-29",
"129","흉터 쿠키 : 이혜미 시집","이혜미","현대문학","2022","9791167901262","","","","811.6","1","0","2022-12-29",
"130","우리는 중독을 사랑해 : 환상적 욕망과 가난한 현실 사이 달콤한 선택지","도우리","한겨레엔","2022","9791160409093","","","","334.9","1","0","2022-12-29",
"131","HR 테크 혁명 : AI 면접관부터 심리상담 챗봇까지, 기술이 이끄는 디지털 인사관리","피플 애널리틱스 연구팀","삼성글로벌리서치","2022","9788976331205","","","","325.3","1","0","2022-12-29",
"132","(초등학생 학부모를 위한)말 잘하는 아이, 글 잘 쓰는 아이","백승권","북루덴스","2022","9791197434969","","","","598.1","1","0","2022-12-29",
"133","(서울대 최종학 교수의)숫자로 경영하라 . 5 , 재무제표 행간에 숨은 의미를 파악하라! = Managing by numbers","최종학","원앤원북스","2022","9791170433354","","","5","325.1","1","0","2022-12-29",
"134","흑백합 : 다지마 도시유키 장편소설","다지마 도시유키","바이포엠 스튜디오","2022","9791192579061","","","","833.6","1","0","2022-12-29",
"135","번역된 근대 : 문부성 〈백과전서〉의 번역학","나가누마 미카코","성균관대학교출판부","2021","9791155504680","","","","701.7","1","0","2022-12-29",
"136","재즈의 계절 : 자신의 삶을 사는 사람은 기꺼이 재즈를 선택한다","김민주","북스톤","2022","9791191211795","","","","671.57","1","0","2022-12-29",
"137","회계사 김경율의 '노빠꾸' 인생","김경율","트라이온","2022","9791197938801","","","","340.4","1","0","2022-12-29",
"138","반도체 주가는 왜 실적과 반대로 갈까? : 반도체 주가의 비밀","송명섭","경향BP(경향비피)","2022","9788969525192","","","","327.856","1","0","2022-12-29",
"139","지금 당장 건강에 투자하라! : 약과 영양제, 한 권으로 끝내기","윤민호","매경출판","2022","9791164844388","","","","517.3","1","0","2022-12-29",
"140","파리의 감각 : 내 영혼에 새겨진 한없이 따뜻한 여행의 순간들 = Aesthetic sense of Paris","정연숙","미래의창","2022","9791192519142","","","","982.6302","1","0","2022-12-29",
"141","성소수자 지지자를 위한 동료 시민 안내서","게인스버그, 지니","현암사","2022","9788932322094","","","","334.226","1","0","2022-12-29",
"142","답답해서 찾아왔습니다 : 내일이 막막한 록커와 불안 전문가의 아주 특별한 대화","한덕현","한빛비즈","2022","9791157846146","","","","181.72","1","0","2022-12-29",
"143","당신에게 좋은 일이 있을 것입니다 : 오휘명 에세이","오휘명","히읏","2021","9791197087554","","","","814.6","1","0","2022-12-29",
"144","주문하신 인생 한 그릇 나왔습니다 : 인생 밑바닥에서 단돈 350만 원으로 창업해 인생 역전을 이루기까지","임성주","아이콤마","2022","9791197076879","","","","326.16","1","0","2022-12-29",
"145","이게 다 호르몬 때문이야 : 내 몸과 마음이 달라지는 49가지 호르몬 법칙","마쓰무라 게이코","Fikalife(피카)","2022","9791190299671","","","","511.14","1","0","2022-12-29",
"146","아무리 바빠도 마음은 챙기고 싶어 : 날마다 나에게 다정한 작은 명상법","투름, 파울리나","갈매나무","2022","9791191842302","","","","189","1","0","2022-12-29",
"147","마카롱 사 먹는 데 이유 같은 게 어딨어요? : 90년대생이 말하는 90년대생 이야기","이묵돌","메가스터디","2020","9791129706195","","","","818","1","0","2022-12-29",
"148","사랑하기 좋은 계절에 : 이묵돌 에세이","이묵돌","Bookrum","2019","9791162142899","","","","818","1","0","2022-12-29",
